id,name,file,source_url,width,height
34187,Tinte 6.00 Rubio Oscuro Doble Cobertura - 60 ml,34187.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/Tinte_6.00_Rubio_Oscuro_Doble_Cobertura.jpg?v=1779871546,2048,2048
34188,Tinte 7.00 Rubio Medio Doble Cobertura - 60 ml,34188.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/Tinte_7.00_Rubio_Medio_Doble_Cobertura.jpg?v=1779871371,2048,2048
34189,Tinte 8.00 Rubio Claro Doble Cobertura  - 60 ml,34189.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/Tinte_8.00_Rubio_Claro_Doble_Cobertura.jpg?v=1779871746,2048,2048
34190,Tinte 9.00 Rubio Muy Claro Doble Cobertura  - 60 ml,34190.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/Tinte_9.00_Rubio_Muy_Claro_Doble_Cobertura.jpg?v=1779875180,2048,2048
34191,Tinte 12.11 Superaclarante Ceniza Intenso  - 60 ml,34191.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/34191_1.jpg?v=1761295328,2048,2048
34192,Tinte 12.12 Superaclarante Ceniza Violeta  - 60 ml,34192.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/34192.jpg?v=1749214381,2048,2048
34193,Tinte 0.0 Neutro - 60 ml,34193.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/34193.jpg?v=1749214378,2048,2048
34217,Decoblue Vplex Tecnology Polvos decolorantes - 24 x 20 g,34217.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/decoloracion-capilar-deco-blue-vplex-480g-valquer.jpg?v=1786524528,2048,2048
34218,Decoblue Vplex Tecnology Polvos decolorantes - 1000 g,34218.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/products/34218.jpg?v=1765355702,1000,1000
34228,Decolorante SIN amoniaco - Polvos Decogreen 0% - 1000 g,34228.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/34228-T.jpg?v=1737476091,2048,2048
34318,Oxidante Premium Ultra-Cremoso 10 vol (3 %) – 1000 ml,34318.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/oxidante-premium-10-vol-3-valquer-1000ml..webp?v=1783683312,2048,2048
34328,Oxidante Premium Ultra‑Cremoso 20 vol (6 %) – 1000 ml,34328.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/oxidante-premium-20-vol-6-valquer-1000ml.webp?v=1783683292,2048,2048
34338,Oxidante Premium Ultra-Cremoso 30 vol (9%)  - 1000 ml,34338.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/oxidante-premium-30-vol-9-valquer-1000ml.webp?v=1783683255,2048,2048
34348,Oxidante Premium Ultra‑Cremoso 40 vol (12 %) – 1000 ml,34348.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/oxidante-premium-40-vol-12-valquer-1000ml.webp?v=1783683275,2048,2048
34415,Mascarilla color Negro - Power Color - 275 ml,34415.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/mascarilla-color-negro-power-color-black-valquer.jpg?v=1786525583,2048,2048
34416,Champú color Negro - Power Color - 400 ml,34416.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/champu-power-color-black-cabello-negro-valquer.jpg?v=1786525666,2048,2048
34425,Mascarilla color Castaño - Power Color - 275 ml,34425.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/mascarilla-power-color-violet-cabello-violeta-valquer.jpg?v=1786525708,2048,2048
34426,Champú Color Castaño - Power Color - 400 ml,34426.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/champu-power-color-brown-cabello-castano-valquer.jpg?v=1786525727,2048,2048
34455,Mascarilla Color Violeta – Power Color – 275 ml,34455.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/mascarilla-power-color-violet-cabello-violeta.jpg?v=1786525760,2048,2048
34456,Champú color Violeta - Power Color - 400 ml,34456.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/champu-power-color-violet-cabello-violeta-valquer.jpg?v=1786525780,2048,2048
34465,Mascarilla color Fucsia / Rosa - Power Color - 275 ml,34465.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/mascarilla-power-color-fuchsia-cabello-fucsia-valquer.jpg?v=1786525800,2048,2048
34466,Champú Color Fucsia / Rosa – Power Color – 400 ml,34466.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/champu-power-color-fuchsia-cabello-fucsia-valquer.jpg?v=1786525926,2048,2048
34475,Mascarilla color Rojo - Power Color - 275 ml,34475.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/mascarilla-power-color-red-cabello-rojo-valquer.jpg?v=1786525941,2048,2048
